,address,amount0_in,amount1_in,amount0_out,amount1_out,sender,to_address,transaction_hash,timestamp
456,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2709518128,0,0,2705487565,0x4870525eae23fceb31df613d179ef6275e1b93a9,0x4870525eae23fceb31df613d179ef6275e1b93a9,0xa21acbda9f895e7de9e0d7e279af4408babf3a759466a0e879dab4badfdd2154,2023-03-18 12:46:00
457,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,3550000000,3534811453,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7f4ee909c2c10f403d5466451c5e0cbdcc958bc4,0x1f3ded4cca87ebe765236a615db3855c9e891673aaf05dc687f284e831b60e47,2023-03-18 12:46:00
458,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,3700000000,3691537690,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xa7b98b43c6ad6d6afcd7a1c3b3ec13552864a2a8,0xc9fc7da446d165f36530f9b1ae7b219dffe95841d6d1e5d1d8808b7d34543bb7,2023-03-18 12:45:00
459,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,650000000,649291591,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x6dd4243e157228d8e8589b7abec4cb35dcabf3aa,0xfbd0b7045f7986600809f8ba0647e276fc4423750437b8ceb1a36fcb5378cd8b,2023-03-18 12:44:00
460,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,1500000000,1499256123,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x0411e8424ea333b1e0ea7f84f62ee540ae39e69c,0x5f79b26003fb575127e726898fcf49bdfb6535b67148d34faac6d792979c57c6,2023-03-18 12:43:00
461,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,1000000000,0,0,994365123,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0x14bb16256065ff4abf4a35c2a7c2fdf2a621cd61,0x158e0a7ca7fbb4265819fe427e01aaba990a99a5d33665c83eecc5b2e77700ec,2023-03-18 12:43:00
462,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,300000000,299834916,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xabd02cc540abff24495866409c668fce1550bd04,0x96080f3ebef62c5d5c0afd5cd3f60af706c1263518d92caa5ea77d0fb28b1130,2023-03-18 12:42:00
463,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,1799510424,1799565494,0,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xdb4a17ee208f7e7e35f6af0ee3cc72e307322821,0xb0cde4cc052888358b0c52e2afa36b42941489f6b227a30461d08f4770fcca65,2023-03-18 12:40:00
464,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,395155871,0,0,392624225,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x14bb16256065ff4abf4a35c2a7c2fdf2a621cd61,0x841896b2788f8f563dead1679bff2280b2079aefafe0d68b668b6b72e3e5c5ad,2023-03-18 12:35:00
465,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,179641613,179706171,0,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0x004375dff511095cc5a197a54140a24efef3a416,0xc83f4378e4d0687061e1620010f592480727040841c3c4db9cfb137e92e3682a,2023-03-18 12:34:00
466,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,3794779304,0,0,3774461028,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe23d3362f5cea2b02b224f1cd99e720ff55a77f9,0xf9d816df6c8424c840c19e0aa7968a64de5bd3fa85b4c6e1154f66beea099a37,2023-03-18 12:31:00
467,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4236409979,0,0,4221026216,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x8059401f7967dd3490665d517a3105eeced4c077,0x698300caa9fa8ae30237ccea5b52806ac5eea030ba42f6168003f5109c910071,2023-03-18 12:30:00
468,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,4900000000,4887705651,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x4dc027bcf61e32e83eebb8ef3e151e56790f17c5,0xb91c28fbfa6e55c162dac4a3993cfc7ec748be42d0410cd59f56d49c936c963e,2023-03-18 12:30:00
469,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,70497285,0,0,70157699,0x1111111254eeb25477b68fb85ed929f73a960582,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x88eb7654303517b9138109804ec6f825225fb42a6f959838b0593e85d00d9950,2023-03-18 12:30:00
470,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,3949910870,0,0,3937171894,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x887a93ed0a3599b8b569ee3205d3a26f5f24179d,0x00cad77472c5c2afdefb24f38acdae0ac100b458f79801676029e78ab02cc9f2,2023-03-18 12:30:00
471,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,2950000000,2941977619,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x3beac2202370e709bc2398d8d99187b50105f938,0x6d4ab95fe573fa1e314af812a24a7ee079da8711556113e57c2bfca6846a61c1,2023-03-18 12:28:00
472,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,15860000,0,0,15795190,0x1111111254eeb25477b68fb85ed929f73a960582,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x2dad374815259fe0a88c4fe982ef212ddda41fcee7ba13a16544e6d3deb7b385,2023-03-18 12:25:00
473,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,1199748749,0,0,1195392042,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x1554b3effac381bbf32760a7687d6de86bda824b,0xf5db7b7e64d369704a084a1ddb980772b6d5271afe2912cc22d1784ebf7e59d2,2023-03-18 12:24:00
474,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,218929211,0,0,218048733,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0xe66b31678d6c16e9ebf358268a790b763c133750,0x8c710e2f3caa720457ce6c45f8097d83005cb92fac62efac31e67174eb10085f,2023-03-18 12:24:00
475,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,4650000000,4643430309,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x2a6f28fe0739d3e21f3f9c33e34334e71708ff20,0x26d900403e0532c07202ba842949c0081b80f47cfc4dc7eb0c3d0e648e426ff8,2023-03-18 12:18:00
476,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,2800000000,2801812121,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xf477af21e1c9226b822eaf3d9edce54b6091c973,0xc3686ca7c6648a96b74c328ae69c11de450ef8e4f6edde63787326e41db07042,2023-03-18 12:17:00
477,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,3400000000,3408055762,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x450e58ca1dd18160118f2a4cd9a7d984e447f27b,0xb2d1e1cce75a8c9df1342dd9f874ab3bad51de2f09b0c6b5802206cf1dc19eef,2023-03-18 12:16:00
478,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,1500038255,1506056143,0,0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0,0x1111111254eeb25477b68fb85ed929f73a960582,0xa110f542cbb9880894866a479f4e73311b6d643fd6e11c09319777711e28b355,2023-03-18 12:15:00
479,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4197980386,0,0,4159253711,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x6f48b9b1c1b45d844e0ac43dd1dcc37890cfc82e,0x4bfd68a46909fd6f9e3972d90ca23a2344cb8ea09945e48a2723889b9935e132,2023-03-18 12:15:00
480,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,500000000,501726879,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xa1eabc4db0e1856bad61e55d6682900ef4d5ca49,0x1f5d64198f7ad02c9508efd3f1ba920bed1129d61dca7e85339e7360072e1a0e,2023-03-18 12:15:00
481,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,1848525536,0,0,1834977586,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xcc09c6753e873f551cea445ecf9a980f11db65b2,0xd9f7ba52c201105ec985ed24f4f68a730218c2470f59b2b3d12fd4c54a3968fa,2023-03-18 12:14:00
482,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2901536139,0,0,2880408900,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xebe50e322cdce8dfc61a6fd94df254193b25aa63,0xff3a5b5cb87a30faee0ca0ad3fbfe836ebd2e22ee704e5f9a96a734427d6dc39,2023-03-18 12:14:00
483,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,2450000000,2452891356,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x80e906d778633d6dfb1deb1a64cf1608da1601fa,0xa635d331712bb141d11f1d97109cfb9639b1c58b264202308c962c639d5ae391,2023-03-18 12:14:00
484,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,3061267090,3066435885,0,0x1111111254eeb25477b68fb85ed929f73a960582,0x4cd36d6f32586177e36179a810595a33163a20bf,0x02bcb3ff0f513e63809a75ee6edd3d3675335fdf6afe3a701e5b365a1c6b9712,2023-03-18 12:13:00
485,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,5826673542,5850916026,0,0x0000e0ca771e21bd00057f54a68c30d400000000,0x0000e0ca771e21bd00057f54a68c30d400000000,0xcc6f4b544ee8d80fadc01fa69434bd337ac23403f0e012084b585fdd1fe63a9b,2023-03-18 12:12:00
486,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4841775731,0,0,4791493133,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x782ab060e9d39a39c91b6c09516d1c3f7ee77746,0x9aca5997d54ecb28bfa3914da4c1c3012d5904e900e3f516e534cb8e5becdd10,2023-03-18 12:12:00
487,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2796145645,0,0,2772931908,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x71d67dc65da93a42f6456c10e1d62e5f62baf38e,0xaaecf839ad555cfaa8a6bf338966ad7f240b3ea5a9e2f43fbda55f934b865816,2023-03-18 12:12:00
488,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2901127812,0,0,2881565424,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a7cc39ef10cf39b58bd84ea206b9644f1cd3473,0xbaa21ec3f0331bbd19741aa429c07d2fc03563809c1206a69de113807a7c1eff,2023-03-18 12:12:00
489,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,260249871,0,0,258720164,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x55ab51bea076e9f0c9549b5a0a806635900b5db0,0xbe2e1da223d90bfd7c4fc21ca27ce443321cac85f53a32291fdbc5046b16c133,2023-03-18 12:10:00
490,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,283401023,283370693,0,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x4b8b958b6b080cd27e2c7ac9b5e155ed69885766a4f5de244bebda74dc70afc4,2023-03-18 12:04:00
491,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,49562500,0,0,49267669,0x1111111254eeb25477b68fb85ed929f73a960582,0x591ab4e31d25e2006620403e4bbab2f139ab89ef,0x6733c4ac8e92b9cfe4749ab2d6651b8f2cf818675c36604faf0f63c528453921,2023-03-18 12:02:00
492,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,2800000000,2802012287,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x211c14ee5ab2652301233fdfb1fe78b1e5e5590f,0xb1e83488d2e1b6e60f3fdf6a73f4749aff9a640b2096162d25b1ec1b2897733e,2023-03-18 12:00:00
493,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,193000000,193298249,0,0x1111111254fb6c44bac0bed2854e76f90643097d,0xa246670142cf7efe67845abcccf4ab6d98289a78,0xe0b396b23c151627359d6450c04c1b324c2703d8d8618a296b49dcbbfa27c621,2023-03-18 12:00:00
