,address,tick_lower,tick_upper,amount,amount0,amount1,owner,transaction_hash,block_number,timestamp
125,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-35,-31,700620532918835,0,139886110031,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x6e5ee67f9673a75e1ca0340703b7c1b2cae92a94d6a04887112161c54c8536b4,16844777,2023-03-17 03:11:00
126,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-54,-14,5413208547520,2399676037,8412232241,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x629d27bb3a2f6f9a2c4a16870b59a47f7309a897f3133677da23d164f07fdee4,16844613,2023-03-17 02:37:00
127,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-63,-30,1208214829590909,0,1988825855873,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc8e3be6b2d649daed3b9ea9c555899e4a293e3659b1b3c4f5ae2e381677e2638,16844563,2023-03-17 02:27:00
128,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-63,-30,0,0,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x0cf76748281e1deacd8174e21673deef6db4ca37ed23fca652f437ec7547babf,16844555,2023-03-17 02:25:00
129,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-38,-23,1520227592899723,0,1138376455101,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x7bbed67d83ef78264a3cbc82662ac21333b159fa08e9f9a264a8eafab93fa787,16844476,2023-03-17 02:09:00
130,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-34,-24,350407833470499,0,174941322734,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x95d40befe74965363aa66fb1904711af29e8224728f6e5577e6153ac9bb23e4b,16844023,2023-03-17 00:38:00
131,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-23,-22,140704219853295793,324479092120,6703184572374,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x4fd28a6be845cd40cae6971eca6ff084c454e854fd73648cd62336f84c5027bc,16843933,2023-03-17 00:20:00
132,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-88,-83,10509152778,0,2615950,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x5a03cd9f28789985167587def667deb034d7ec98265cd6a570f98f719377a497,16843841,2023-03-17 00:02:00
133,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-88,-83,0,0,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x5a03cd9f28789985167587def667deb034d7ec98265cd6a570f98f719377a497,16843841,2023-03-17 00:02:00
134,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-85,-83,0,0,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x5a03cd9f28789985167587def667deb034d7ec98265cd6a570f98f719377a497,16843841,2023-03-17 00:02:00
135,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-85,-83,34017406851022,0,3387314685,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x5a03cd9f28789985167587def667deb034d7ec98265cd6a570f98f719377a497,16843841,2023-03-17 00:02:00
136,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-23,-22,126003282578605400,694742514790,5599554131567,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x9a4d62c64d33210317d4728656e4712c2e4119bad65dbeb648ad0a2b64f3fde2,16843807,2023-03-16 23:55:00
137,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-24,-23,150170105879008595,293833558186,7206155484996,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x2570305d9cd6962ec4ba6a19d7ca13b4d2e6ecb662b885b06b63d65dc8622731,16843474,2023-03-16 22:48:00
138,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-13,-3,753404688110174,376834210125,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc7513d7e794c059a8ebca249cbe5d9d3e3d7751bb1d6f37e90f2821efd543f41,16843043,2023-03-16 21:22:00
139,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-30,-25,4871022199368875,0,1216021573294,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xf8b5c67cae21557f98766113a5489604f84d23dc20f16460f068b7f01e26391f,16842661,2023-03-16 20:04:00
140,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-29,-24,4951068803401520,708604398391,529261694016,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x46c2e6df4557d20a0de91e56c24cdf2612a65028a567f9c02702d0d405070f82,16842604,2023-03-16 19:53:00
141,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-40,-10,376191342850259,46633909078,516972477698,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x55568ad782f45e79799cdff8db4ba11ac8ed1164dd86daf114d2ac14f7b7cf51,16841972,2023-03-16 17:44:00
142,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-17,-13,13850667337076760,0,2767918361016,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xb8ac14a6e8ab41919706339077a09afd92b08ec69021fb8b613bd36a8c293821,16841957,2023-03-16 17:41:00
143,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-43,-26,571449500689177,0,484870723301,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xf926144b0d7a962e8e63791a2e09e836ea6bcd8043d4fff6dd6c00614471de57,16841954,2023-03-16 17:40:00
144,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-43,-26,0,0,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xdc5cb59f870ffd0ea280351c8df9b1a9c12cdf39e25f6d32bbee38f5f728fe56,16841939,2023-03-16 17:37:00
145,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-36,-29,2572385316708890,0,898828141736,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xb663618848e84f547ff88c9362cd09a6e1018d77dfab75228669fcf74d115bcf,16841732,2023-03-16 16:55:00
146,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-32,-28,9801008187448546,0,1957165832544,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x4d4bcc9550b137d58f4a6fd3240c5ba33f01e39fb0c18175225664b4b8fe9eee,16841731,2023-03-16 16:55:00
147,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-30,-25,3854599613871835,0,962277750959,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xe0ce0cdae0ed15877230fa444afef4dc7620fa094ec4cd0d5e177624ad008edd,16841286,2023-03-16 15:26:00
148,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-34,-28,3627887678772028,0,1086626400458,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xd5c4136990cdd010744a9f964b49c2f5bed33ae21be589b1e10c3db69132213e,16841046,2023-03-16 14:37:00
149,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-7,5,180510714306,108306430,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc3d05afa6c3d331ebdc5f2f4eb1227207979854f61bfe50bb136e8c11cadb1be,16840571,2023-03-16 13:01:00
150,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-70,-32,791635862267068,0,1500202956651,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x8018c7d064d8310daeb62984d90c78adbbb889a9540c0f058c785499bbe63201,16840108,2023-03-16 11:27:00
151,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-58,-24,668718050746890,219993668207,915041869552,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xe86e79ea0f64dd034ad8bb964009e4b330551ad0b551819e79259cbec96eb710,16840089,2023-03-16 11:23:00
152,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-60,-41,739122222225706,0,700360475488,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x9c095e8eb2cb6d50ce6224877ea9ee256ba619e770adbfd8174ec2818ba62337,16840082,2023-03-16 11:22:00
153,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-35,-25,3660896133733569,915779215676,914348657981,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x9ceb7f734a311780918cbde5733860bacc98e48bd10acc70cec70750e36dce27,16839689,2023-03-16 10:02:00
154,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-35,-34,101074314888126150,353628117040,4692327149480,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xfe1eb74b9dfda4ecf9b44b1804f6a01eedd1a8271b4ce54a3e8f9b6d2fa69fe0,16838550,2023-03-16 06:11:00
155,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-35,-34,124675050005243551,575402635349,5649250910315,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xb861b118e2403755ac612cf04cc584bcd21c6d792983a4a7fb45c3e236175fcd,16838502,2023-03-16 06:01:00
156,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-88,-83,0,0,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x60ef292b2975508597860813637cd73fdb7f5e062518fa34f613615a2c5d0c69,16838232,2023-03-16 05:07:00
157,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-85,-83,0,0,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x60ef292b2975508597860813637cd73fdb7f5e062518fa34f613615a2c5d0c69,16838232,2023-03-16 05:07:00
158,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-3,1,1227744831774424,245548966661,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x82a3f2f2dc1b09e87eab188fed4e8f16b1a1ea82e1d527e7f92503570bb411d0,16836747,2023-03-16 00:07:00
159,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-31,-10,812392197854081,853843897079,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x8b374b977cc1e183db2aae7395f358ef45dfc81715fc277e62370b26d9ed9146,16836247,2023-03-15 22:26:00
